127.0.0.1 - - [20/Apr/2018:12:48:46 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:48:47 +0900] "GET /js03/ex01.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:48:47 +0900] "POST /js03/ex01.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:48:47 +0900] "POST /js03/ex01.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:48:47 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:49:08 +0900] "GET /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:49:08 +0900] "POST /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:49:08 +0900] "POST /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:49:28 +0900] "GET /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:49:28 +0900] "POST /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:49:28 +0900] "POST /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:58:39 +0900] "POST /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:58:39 +0900] "POST /js03/ex01.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:59:48 +0900] "GET /js03/ex01.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:59:49 +0900] "POST /js03/ex01.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:59:49 +0900] "POST /js03/ex01.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:59:58 +0900] "POST /js03/ex01.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [20/Apr/2018:12:59:58 +0900] "POST /js03/ex01.html HTTP/1.1" 200 533
